"vehicle_id","route_id","route_short_name","destination","x_lon","y_lat","captured_at_jst","current_status","stop_name"
"L316","024","学03","日赤医療センター前","139.713272","35.655216","2026-05-08 11:25:58","IN_TRANSIT_TO","東四丁目"
"K220","024","学03","渋谷駅前","139.717667","35.655174","2026-05-08 11:25:58","IN_TRANSIT_TO","日赤医療センター前"
"A585","024","学03","渋谷駅前","139.710587","35.6577","2026-05-08 11:25:58","IN_TRANSIT_TO","青山学院初等部前"
"H983","026","都04","東京駅丸の内南口","139.775711","35.658115","2026-05-08 11:25:58","IN_TRANSIT_TO","勝どき三丁目"
"C203","026","都04","東京駅丸の内南口","139.765686","35.670567","2026-05-08 11:25:58","IN_TRANSIT_TO","銀座四丁目"
"H860","026","都04","豊海水産埠頭","139.764694","35.680859","2026-05-08 11:25:58","IN_TRANSIT_TO","東京駅丸の内南口"
"G780","026","都04","豊海水産埠頭","139.769302","35.667866","2026-05-08 11:25:58","IN_TRANSIT_TO","築地"
"F569","026","都04","豊海水産埠頭","139.773285","35.656155","2026-05-08 11:25:58","IN_TRANSIT_TO","新島橋"
"G832","032","学06","日赤医療センター前","139.709442","35.64698","2026-05-08 11:25:58","IN_TRANSIT_TO","恵比寿駅前"
"L313","032","学06","日赤医療センター前","139.717575","35.655811","2026-05-08 11:25:58","IN_TRANSIT_TO","東京女学館前"
"C210","032","学06","恵比寿駅前","139.71347","35.65242","2026-05-08 11:25:58","IN_TRANSIT_TO","広尾高校前"
"B791","031","都06","新橋駅前","139.709045","35.65234","2026-05-08 11:25:58","IN_TRANSIT_TO","東二丁目"
"G827","031","都06","新橋駅前","139.736053","35.64716","2026-05-08 11:25:58","IN_TRANSIT_TO","古川橋"
"L312","031","都06","新橋駅前","139.754608","35.657478","2026-05-08 11:25:58","IN_TRANSIT_TO","大門駅前"
"F556","031","都06","渋谷駅前","139.759247","35.665936","2026-05-08 11:25:58","IN_TRANSIT_TO","新橋駅前"
"G829","031","都06","渋谷駅前","139.74794","35.652557","2026-05-08 11:25:58","IN_TRANSIT_TO","芝園橋"
"W454","031","都06","渋谷駅前","139.721451","35.6479","2026-05-08 11:25:58","IN_TRANSIT_TO","広尾病院前"
"D331","031","都06","赤羽橋駅前","139.717667","35.648849","2026-05-08 11:25:58","IN_TRANSIT_TO","広尾一丁目"
"G821","031","都06","赤羽橋駅前","139.74115","35.655495","2026-05-08 11:25:58","IN_TRANSIT_TO","中ノ橋"
"G822","031","都06","渋谷駅前","139.731201","35.647194","2026-05-08 11:25:58","IN_TRANSIT_TO","四ノ橋"
"D355","031","都06","渋谷駅前","139.708801","35.652657","2026-05-08 11:25:58","IN_TRANSIT_TO","東二丁目"
"B754","036","都07","門前仲町","139.817642","35.696106","2026-05-08 11:25:58","IN_TRANSIT_TO","江東車庫前"
"H968","036","都07","門前仲町","139.826172","35.692451","2026-05-08 11:25:58","IN_TRANSIT_TO","五ノ橋"
"W434","036","都07","門前仲町","139.82663","35.673351","2026-05-08 11:25:58","IN_TRANSIT_TO","南砂三丁目"
"D365","036","都07","門前仲町","139.826126","35.671082","2026-05-08 11:25:58","IN_TRANSIT_TO","日曹橋"
"M463","036","都07","門前仲町","139.803436","35.669418","2026-05-08 11:25:58","IN_TRANSIT_TO","木場二丁目"
"W436","036","都07","錦糸町駅前","139.797791","35.671249","2026-05-08 11:25:58","IN_TRANSIT_TO","不動尊前"
"E501","036","都07","錦糸町駅前","139.813736","35.669556","2026-05-08 11:25:58","IN_TRANSIT_TO","東陽操車所前"
"H967","036","都07","錦糸町駅前","139.826294","35.672726","2026-05-08 11:25:58","IN_TRANSIT_TO","南砂三丁目"
"L344","036","都07","錦糸町駅前","139.827332","35.681885","2026-05-08 11:25:58","IN_TRANSIT_TO","北砂三丁目"
"W440","036","都07","錦糸町駅前","139.826187","35.690002","2026-05-08 11:25:58","IN_TRANSIT_TO","西大島駅前"
"H966","036","都07","錦糸町駅前","139.817535","35.69569","2026-05-08 11:25:58","IN_TRANSIT_TO","江東車庫前"
"C250","038","都08（T08）","錦糸町駅前","139.777466","35.728756","2026-05-08 11:25:58","IN_TRANSIT_TO","東日暮里三丁目"
"W465","038","都08（T08）","錦糸町駅前","139.791672","35.720722","2026-05-08 11:25:58","IN_TRANSIT_TO","千束"
"E541","038","都08（T08）","錦糸町駅前","139.798431","35.714588","2026-05-08 11:25:58","IN_TRANSIT_TO","二天門"
"F646","038","都08（T08）","錦糸町駅前","139.805222","35.708759","2026-05-08 11:25:58","IN_TRANSIT_TO","本所吾妻橋"
"F640","038","都08（T08）","錦糸町駅前","139.814331","35.706242","2026-05-08 11:25:58","IN_TRANSIT_TO","業平四丁目"
"D301","038","都08（T08）","日暮里駅前","139.813492","35.697296","2026-05-08 11:25:58","IN_TRANSIT_TO","錦糸町駅前"
"H961","038","都08（T08）","日暮里駅前","139.813705","35.708355","2026-05-08 11:25:58","IN_TRANSIT_TO","押上"
"B794","038","都08（T08）","日暮里駅前","139.809097","35.708725","2026-05-08 11:25:58","IN_TRANSIT_TO","とうきょうスカイツリー駅入口"
"G776","038","都08（T08）","日暮里駅前","139.796967","35.716118","2026-05-08 11:25:58","IN_TRANSIT_TO","浅草二丁目"
"G767","038","都08（T08）","日暮里駅前","139.786499","35.725021","2026-05-08 11:25:58","IN_TRANSIT_TO","下谷三丁目"
"E466","040","業10","とうきょうスカイツリー駅前","139.770355","35.666985","2026-05-08 11:25:58","IN_TRANSIT_TO","築地三丁目"
"E526","040","業10","とうきょうスカイツリー駅前","139.797119","35.655151","2026-05-08 11:25:58","IN_TRANSIT_TO","豊洲駅前"
"F653","040","業10","とうきょうスカイツリー駅前","139.806854","35.677277","2026-05-08 11:25:58","IN_TRANSIT_TO","木場公園"
"E539","040","業10","とうきょうスカイツリー駅前","139.804626","35.704296","2026-05-08 11:25:58","IN_TRANSIT_TO","本所四丁目"
"E540","040","業10","新橋","139.805634","35.694572","2026-05-08 11:25:58","IN_TRANSIT_TO","緑三丁目"
"G708","040","業10","新橋","139.806488","35.661606","2026-05-08 11:25:58","IN_TRANSIT_TO","塩浜二丁目"
"D112","040","業10","新橋","139.793228","35.657604","2026-05-08 11:25:58","IN_TRANSIT_TO","ＩＨＩ前"
