"captured_at_jst","source","vehicle_id","vehicle_label","trip_id","route_id","route_short_name","route_display_name","destination","latitude","longitude","current_status","stop_id","stop_name","next_stop_name","current_stop_name","timestamp","feed_timestamp"
"2026-05-08 11:25:58","odpt","M188","M188","72812-2-85-170-1111","018","海01（KM01）","海01（KM01） 門前仲町行","門前仲町","35.639442","139.792801","IN_TRANSIT_TO","0077-01","有明二丁目","有明二丁目",,"1778207079","1778207149"
"2026-05-08 11:25:58","odpt","E140","E140","72812-2-85-170-1051","018","海01（KM01）","海01（KM01） 門前仲町行","門前仲町","35.661636","139.799408","IN_TRANSIT_TO","2204-01","浜園橋","浜園橋",,"1778207047","1778207149"
"2026-05-08 11:25:58","odpt","D915","D915","16201-1-29-170-1121","019","学02","学02 早大正門行","早大正門","35.711414","139.710785","IN_TRANSIT_TO","0857-04","高田馬場二丁目","高田馬場二丁目",,"1778207061","1778207149"
"2026-05-08 11:25:58","odpt","Z550","Z550","16201-1-29-170-1115","019","学02","学02 早大正門行","早大正門","35.706886","139.718704","IN_TRANSIT_TO","1258-02","馬場下町","馬場下町",,"1778207013","1778207149"
"2026-05-08 11:25:58","odpt","K229","K229","16201-2-29-170-1123","019","学02","学02 高田馬場駅前行","高田馬場駅前","35.70863","139.72168","IN_TRANSIT_TO","0839-06","早大正門","早大正門",,"1778207022","1778207149"
"2026-05-08 11:25:58","odpt","A591","A591","16201-2-29-170-1117","019","学02","学02 高田馬場駅前行","高田馬場駅前","35.711182","139.710892","IN_TRANSIT_TO","0857-02","高田馬場二丁目","高田馬場二丁目",,"1778207035","1778207149"
"2026-05-08 11:25:58","odpt","B739","B739","32301-1-45-170-1117","020","都02","都02 錦糸町駅前行","錦糸町駅前","35.72073","139.732651","IN_TRANSIT_TO","0244-03","大塚三丁目","大塚三丁目",,"1778207074","1778207149"
"2026-05-08 11:25:58","odpt","C218","C218","32301-1-45-170-1107","020","都02","都02 錦糸町駅前行","錦糸町駅前","35.710854","139.745865","IN_TRANSIT_TO","0961-04","伝通院前","伝通院前",,"1778207118","1778207149"
"2026-05-08 11:25:58","odpt","M395","M395","32301-1-45-170-1057","020","都02","都02 錦糸町駅前行","錦糸町駅前","35.707504","139.764801","IN_TRANSIT_TO","1575-02","湯島四丁目","湯島四丁目",,"1778207055","1778207149"
"2026-05-08 11:25:58","odpt","K237","K237","32301-1-45-170-1047","020","都02","都02 錦糸町駅前行","錦糸町駅前","35.707413","139.77919","IN_TRANSIT_TO","1267-01","東上野一丁目","東上野一丁目",,"1778207094","1778207149"
"2026-05-08 11:25:58","odpt","F631","F631","32301-1-45-170-1037","020","都02","都02 錦糸町駅前行","錦糸町駅前","35.702847","139.797043","IN_TRANSIT_TO","1416-01","本所一丁目","本所一丁目",,"1778207064","1778207149"
"2026-05-08 11:25:58","odpt","D303","D303","32301-1-45-170-1027","020","都02","都02 錦糸町駅前行","錦糸町駅前","35.700184","139.814865","IN_TRANSIT_TO","0851-02","太平三丁目","太平三丁目",,"1778207108","1778207149"
"2026-05-08 11:25:58","odpt","H884","H884","32301-2-45-170-1121","020","都02","都02 大塚駅前行","大塚駅前","35.700928","139.811157","IN_TRANSIT_TO","0850-01","太平一丁目","太平一丁目",,"1778207100","1778207149"
"2026-05-08 11:25:58","odpt","H890","H890","32301-2-45-170-1111","020","都02","都02 大塚駅前行","大塚駅前","35.700325","139.800751","IN_TRANSIT_TO","0095-02","石原二丁目","石原二丁目",,"1778207080","1778207149"
"2026-05-08 11:25:58","odpt","L322","L322","32301-2-45-170-1102","020","都02","都02 大塚駅前行","大塚駅前","35.70689","139.782516","IN_TRANSIT_TO","1535-02","新御徒町駅前","新御徒町駅前",,"1778207129","1778207149"
"2026-05-08 11:25:58","odpt","F624","F624","32301-2-45-170-1053","020","都02","都02 大塚駅前行","大塚駅前","35.707363","139.764496","IN_TRANSIT_TO","1575-01","湯島四丁目","湯島四丁目",,"1778207100","1778207149"
"2026-05-08 11:25:58","odpt","C228","C228","32301-2-45-170-1044","020","都02","都02 大塚駅前行","大塚駅前","35.709164","139.748596","IN_TRANSIT_TO","1018-01","富坂上","富坂上",,"1778207099","1778207149"
"2026-05-08 11:25:58","odpt","M392","M392","32301-2-45-170-1035","020","都02","都02 大塚駅前行","大塚駅前","35.718304","139.735718","IN_TRANSIT_TO","0242-01","窪町小学校","窪町小学校",,"1778207094","1778207149"
"2026-05-08 11:25:58","odpt","Z512","Z512","32301-2-45-170-1026","020","都02","都02 大塚駅前行","大塚駅前","35.720745","139.73233","IN_TRANSIT_TO","0244-01","大塚三丁目","大塚三丁目",,"1778207055","1778207149"
"2026-05-08 11:25:58","odpt","A617","A617","32202-1-45-170-1120","021","都02乙","都02乙 東京ドームシティ行","東京ドームシティ","35.728161","139.715744","IN_TRANSIT_TO","1264-01","東池袋一丁目","東池袋一丁目",,"1778207093","1778207149"
