vehicle_id,route_id,route_short_name,route_display_name,route_label,destination,trip_id,pattern_id,stop_id,stop_name,next_stop_name,current_stop_name,current_status,timestamp,feed_timestamp,source,longitude,latitude
Y478,046,錦13,錦13 錦糸町駅前行,錦13,錦糸町駅前,72112-2-81-170-2143,72112,0789-05,住吉一丁目,住吉一丁目,,IN_TRANSIT_TO,1777641569,1777641609,odpt,139.810623,35.689278
F653,050,東16,東16 深川車庫前行,東16,深川車庫前,73005-1-81-170-2155,73005,2312-01,新月島公園前,新月島公園前,,IN_TRANSIT_TO,1777641551,1777641609,odpt,139.788269,35.659458
B778,049,東15,東15 深川車庫前行,東15,深川車庫前,72201-2-81-170-2200,72201,0325-02,勝どき橋南詰,勝どき橋南詰,,IN_TRANSIT_TO,1777641518,1777641609,odpt,139.776581,35.660614
F144,052,門19,門19 門前仲町行,門19,門前仲町,72703-1-81-170-2210,72703,0888-01,辰巳橋,辰巳橋,,IN_TRANSIT_TO,1777641538,1777641609,odpt,139.807312,35.650135
F145,052,門19,門19 深川車庫前行,門19,深川車庫前,72703-2-81-170-2209,72703,1021-02,豊洲四丁目,豊洲四丁目,,IN_TRANSIT_TO,1777641539,1777641609,odpt,139.798401,35.655632
H972,056,西葛20甲,西葛20甲 なぎさニュータウン行,西葛20甲,なぎさニュータウン,69201-1-77-170-2215,69201,1070-03,中葛西七丁目,中葛西七丁目,,IN_TRANSIT_TO,1777641594,1777641609,odpt,139.864395,35.656593
G733,057,西葛20乙,西葛20乙 西葛西駅前行,西葛20乙,西葛西駅前,69202-2-77-170-2213,69202,2062-02,葛西トラックターミナル,葛西トラックターミナル,,IN_TRANSIT_TO,1777641531,1777641609,odpt,139.863556,35.647778
M194,058,亀21,亀21 東陽町駅前行,亀21,東陽町駅前,60001-2-85-170-2200,60001,1297-01,東砂六丁目,東砂六丁目,,IN_TRANSIT_TO,1777641480,1777641609,odpt,139.840836,35.672909
B767,059,門21,門21 東大島駅前行,門21,東大島駅前,64602-2-69-170-2200,64602,1293-01,東砂二丁目,東砂二丁目,,IN_TRANSIT_TO,1777641505,1777641609,odpt,139.844833,35.683807
V381,060,新小21,新小21 新小岩駅前行,新小21,新小岩駅前,68501-1-77-170-2144,68501,0604-02,七軒町,七軒町,,IN_TRANSIT_TO,1777641467,1777641609,odpt,139.858215,35.679764
F153,060,新小21,新小21 新小岩駅前行,新小21,新小岩駅前,68501-1-77-170-2132,68501,1281-01,東小松川二丁目,東小松川二丁目,,IN_TRANSIT_TO,1777641519,1777641609,odpt,139.867691,35.695301
K288,060,新小21,新小21 西葛西駅前行,新小21,西葛西駅前,68501-2-77-170-2157,68501,0468-03,京葉交差点,京葉交差点,,IN_TRANSIT_TO,1777641495,1777641609,odpt,139.868027,35.702316
B777,060,新小21,新小21 西葛西駅前行,新小21,西葛西駅前,68501-2-77-170-2145,68501,1424-02,棒茅場,棒茅場,,IN_TRANSIT_TO,1777641531,1777641609,odpt,139.856964,35.679379
F150,061,葛西21,葛西21 コーシャハイム南葛西行,葛西21,コーシャハイム南葛西,69302-1-77-170-2205,69302,1111-03,なぎさニュータウン,なぎさニュータウン,,IN_TRANSIT_TO,1777641450,1777641609,odpt,139.879715,35.647343
E502,061,葛西21,葛西21 葛西駅前行,葛西21,葛西駅前,69309-2-77-170-2215,69309,2274-01,南葛西会館前,南葛西会館前,,IN_TRANSIT_TO,1777641493,1777641609,odpt,139.875717,35.646397
Z534,062,里22,里22 南千住車庫前行,里22,南千住車庫前,52104-2-57-170-2205,52104,1495-04,三ノ輪二丁目,三ノ輪二丁目,,IN_TRANSIT_TO,1777641571,1777641609,odpt,139.793182,35.729195
A651,063,東22,東22 東陽町駅前行,東22,東陽町駅前,60202-1-65-170-2210,60202,0192-04,扇橋二丁目,扇橋二丁目,,IN_TRANSIT_TO,1777641522,1777641609,odpt,139.816193,35.68232
G792,063,東22,東22 錦糸町駅前行,東22,錦糸町駅前,60202-2-65-170-2219,60202,0491-02,江東区役所前,江東区役所前,,IN_TRANSIT_TO,1777641595,1777641609,odpt,139.816223,35.671642
G789,063,東22,東22 錦糸町駅前行,東22,錦糸町駅前,60202-2-65-170-2210,60202,0787-02,住吉駅前,住吉駅前,,IN_TRANSIT_TO,1777641580,1777641609,odpt,139.815536,35.689678
C259,063,東22,東22 錦糸町駅前行,東22,錦糸町駅前,60204-2-65-170-2200,60204,1544-03,門前仲町,門前仲町,,IN_TRANSIT_TO,1777641562,1777641609,odpt,139.795624,35.672184
E450,070,上23,上23 東墨田二丁目行,上23,東墨田二丁目,56205-1-61-170-2200,56205,0032-01,浅草雷門,浅草雷門,,IN_TRANSIT_TO,1777641444,1777641609,odpt,139.795349,35.711105
B755,071,上23出入,上23出入 青戸車庫前行,上23出入,青戸車庫前,56207-1-61-170-2200,56207,0154-02,梅田小学校前,梅田小学校前,,IN_TRANSIT_TO,1777641586,1777641609,odpt,139.841568,35.742203
K289,068,新小22,新小22 葛西駅前行,新小22,葛西駅前,68801-2-77-170-2145,68801,1433-01,松江,松江,,IN_TRANSIT_TO,1777641590,1777641609,odpt,139.870605,35.696468
M471,075,亀24,亀24 葛西橋行,亀24,葛西橋,68101-2-77-170-2200,68101,1293-02,東砂二丁目,東砂二丁目,,IN_TRANSIT_TO,1777641551,1777641609,odpt,139.844849,35.683208
G722,076,葛西24,葛西24 なぎさニュータウン行,葛西24,なぎさニュータウン,69101-1-77-170-2157,69101,2031-02,葛西南高校入口,葛西南高校入口,,IN_TRANSIT_TO,1777641496,1777641609,odpt,139.872635,35.653858
C261,078,錦25,錦25 錦糸町駅前行,錦25,錦糸町駅前,68001-1-77-170-2140,68001,0493-01,江東車庫前,江東車庫前,,IN_TRANSIT_TO,1777641590,1777641609,odpt,139.817535,35.69569
M470,078,錦25,錦25 葛西駅前行,錦25,葛西駅前,68001-2-77-170-2200,68001,1280-03,東小松川一丁目,東小松川一丁目,,IN_TRANSIT_TO,1777641548,1777641609,odpt,139.86792,35.699444
E507,078,錦25,錦25 葛西駅前行,錦25,葛西駅前,68001-2-77-170-2148,68001,1378-02,船堀中組,船堀中組,,IN_TRANSIT_TO,1777641581,1777641609,odpt,139.865173,35.68013
C263,078,錦25,錦25 船堀駅前行,錦25,船堀駅前,68002-2-77-170-2210,68002,0374-01,亀戸九丁目,亀戸九丁目,,IN_TRANSIT_TO,1777641563,1777641609,odpt,139.839386,35.697403
F678,078,錦25,錦25 東小松川車庫前行,錦25,東小松川車庫前,68008-1-77-170-2212,68008,0579-02,三角,三角,,IN_TRANSIT_TO,1777641581,1777641609,odpt,139.871048,35.675499
C273,081,秋26,秋26 葛西駅前行,秋26,葛西駅前,64101-2-69-170-2135,64101,1297-01,東砂六丁目,東砂六丁目,,IN_TRANSIT_TO,1777641551,1777641609,odpt,139.840836,35.672909
E463,082,亀26,亀26 今井行,亀26,今井,64001-2-69-170-2210,64001,0374-01,亀戸九丁目,亀戸九丁目,,IN_TRANSIT_TO,1777641515,1777641609,odpt,139.839386,35.697403
Z559,084,錦27－2,錦27－2 船堀駅前行,錦27－2,船堀駅前,61101-1-77-170-2157,61101,1434-02,松江第一中学校前,松江第一中学校前,,IN_TRANSIT_TO,1777641541,1777641609,odpt,139.866699,35.689281
G730,085,西葛27,西葛27 西葛西駅前行,西葛27,西葛西駅前,68602-2-77-170-2215,68602,2449-03,東京臨海病院前,東京臨海病院前,,IN_TRANSIT_TO,1777641459,1777641609,odpt,139.854004,35.653484
A601,085,西葛27,西葛27 臨海町二丁目団地前行,西葛27,臨海町二丁目団地前,68608-1-77-170-2212,68608,2449-02,東京臨海病院前,東京臨海病院前,,IN_TRANSIT_TO,1777641580,1777641609,odpt,139.854034,35.653702
L354,087,両28,両28 葛西橋行,両28,葛西橋,64501-2-69-170-2200,64501,0234-01,大島一丁目,大島一丁目,,IN_TRANSIT_TO,1777641544,1777641609,odpt,139.826614,35.687431
E510,089,錦28,錦28 錦糸町駅前行,錦28,錦糸町駅前,68701-1-65-170-2210,68701,2459-02,小名木川小学校入口,小名木川小学校入口,,IN_TRANSIT_TO,1777641559,1777641609,odpt,139.829269,35.683853
W438,089,錦28,錦28 東大島駅前行,錦28,東大島駅前,68701-2-65-170-2212,68701,0235-02,大島二丁目,大島二丁目,,IN_TRANSIT_TO,1777641482,1777641609,odpt,139.82132,35.689262
D315,092,亀29,亀29 西葛西駅前行,亀29,西葛西駅前,68202-2-77-170-2200,68202,0314-01,葛西橋東詰,葛西橋東詰,,IN_TRANSIT_TO,1777641576,1777641609,odpt,139.854034,35.670708
K271,093,門33,門33 亀戸駅前行,門33,亀戸駅前,60301-2-65-170-2200,60301,0871-02,高橋,高橋,,IN_TRANSIT_TO,1777641577,1777641609,odpt,139.798279,35.685902
H966,093,門33,門33 亀戸駅前行,門33,亀戸駅前,60301-2-65-170-2134,60301,1371-02,福神橋,福神橋,,IN_TRANSIT_TO,1777641559,1777641609,odpt,139.825882,35.704384
D324,094,錦37,錦37 青戸車庫前行,錦37,青戸車庫前,56101-2-61-170-2215,56101,1579-02,横川三丁目,横川三丁目,,IN_TRANSIT_TO,1777641542,1777641609,odpt,139.814362,35.703869
K270,096,草39,草39 青戸車庫前行,草39,青戸車庫前,56003-2-61-170-2213,56003,0365-01,亀有警察署前,亀有警察署前,,IN_TRANSIT_TO,1777641529,1777641609,odpt,139.862976,35.762135
K269,096,草39,草39 青戸車庫前行,草39,青戸車庫前,56004-2-61-170-2200,56004,1589-01,四ツ木橋南詰,四ツ木橋南詰,,IN_TRANSIT_TO,1777641572,1777641609,odpt,139.82547,35.729118
F603,098,王40出入,王40出入 北車庫前行,王40出入,北車庫前,40009-2-49-170-2214,40009,2151-02,足立第五中学校前,足立第五中学校前,,IN_TRANSIT_TO,1777641599,1777641609,odpt,139.775742,35.776386
E517,098,王40出入,王40出入 北車庫前行,王40出入,北車庫前,40009-2-49-170-2202,40009,1500-02,宮城二丁目,宮城二丁目,,IN_TRANSIT_TO,1777641600,1777641609,odpt,139.755127,35.762371
C243,100,王41,王41 新田一丁目行,王41,新田一丁目,40101-1-49-170-2212,40101,1006-02,豊島八丁目,豊島八丁目,,IN_TRANSIT_TO,1777641592,1777641609,odpt,139.740158,35.764042
E419,099,王40甲,王40甲 西新井駅前行,王40甲,西新井駅前,40001-1-49-170-2200,40001,0196-12,王子駅前,王子駅前,,IN_TRANSIT_TO,1777641541,1777641609,odpt,139.738815,35.754341
F608,099,王40甲,王40甲 西新井駅前行,王40甲,西新井駅前,40001-1-49-170-2151,40001,1500-03,宮城二丁目,宮城二丁目,,IN_TRANSIT_TO,1777641599,1777641609,odpt,139.756226,35.762096
F612,099,王40甲,王40甲 西新井駅前行,王40甲,西新井駅前,40001-1-49-170-2142,40001,0066-02,荒川土手操車所前,荒川土手操車所前,,IN_TRANSIT_TO,1777641531,1777641609,odpt,139.763351,35.768951
F614,099,王40甲,王40甲 池袋駅東口行,王40甲,池袋駅東口,40001-2-49-170-2150,40001,0046-01,飛鳥山,飛鳥山,,IN_TRANSIT_TO,1777641587,1777641609,odpt,139.736359,35.749992
G750,099,王40甲,王40甲 豊島五丁目団地行,王40甲,豊島五丁目団地,40006-1-49-170-2217,40006,2405-10,池袋駅東口（⑩のりば）,池袋駅東口（⑩のりば）,,IN_TRANSIT_TO,1777641560,1777641609,odpt,139.714096,35.731541
